id,name,parent_category
linhafala_chamada_assistance_subcategoria_38,Outras necessidades básicas,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_39,Necessidade de medicação,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_40,Criança chefe de família por conta da emergência,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_41,Necessidade de abrigo/tenda,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_42,Solicitação de Assistência alimentar,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_43,Solicitação de Assistência alimentar,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_44,Material escolar,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_45,Documentação,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_46,Reintegração escolar,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_47,Vestuário,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_48,Outras necessidades básicas,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_49,Informação geral sobre cheias/secas,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_50,Prevenção,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_51,Necessidade de medicação,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_52,Informação sobre Orientação e Serviços,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_53,Criança chefe de família por conta da seca/cheia,Emergência/Mudanças Climáticas
linhafala_chamada_assistance_subcategoria_54,Espaço temporal /Horário de func.,Campanhas de Saúde
linhafala_chamada_assistance_subcategoria_55,Informação geral sobre a campanha,Campanhas de Saúde
linhafala_chamada_assistance_subcategoria_56,Informação sobre Orientação e Serviços,Campanhas de Saúde
linhafala_chamada_assistance_subcategoria_57,Reclamação sobre mau  atend.,Campanhas de Saúde
linhafala_chamada_assistance_subcategoria_58,Reclamação sobre sinais de corrupção,Campanhas de Saúde
linhafala_chamada_assistance_subcategoria_59,Reclamação sobre desvios,Campanhas de Saúde
linhafala_chamada_assistance_subcategoria_60,Necessidade de medicação,Campanhas de Saúde
linhafala_chamada_assistance_subcategoria_61,Nutrição,Campanhas de Saúde
linhafala_chamada_assistance_subcategoria_62,Reclamação sobre o funcionamento de serviço,Campanhas de Saúde
linhafala_chamada_assistance_subcategoria_63,Criança  vivendo em zona de conflitos,Conflitos Armados
linhafala_chamada_assistance_subcategoria_64,Criança refugida,Conflitos Armados
linhafala_chamada_assistance_subcategoria_65,Necessidade de medicação,Conflitos Armados
linhafala_chamada_assistance_subcategoria_66,Reclamação sobre o funcionamento de serviço,Conflitos Armados
linhafala_chamada_assistance_subcategoria_67,Solicitação de Assistência alimentar,Conflitos Armados
linhafala_chamada_assistance_subcategoria_68,Criança chefe de família por conta do conflito armado,Conflitos Armados
linhafala_chamada_assistance_subcategoria_69,Criança em movimento,Conflitos Armados
linhafala_chamada_assistance_subcategoria_70,Necessidade de abrigo/tenda,Conflitos Armados
linhafala_chamada_assistance_subcategoria_71,Documentação,Conflitos Armados
linhafala_chamada_assistance_subcategoria_72,Cuidados com a gravidez,Saúde Sexual e Reprodutiva
linhafala_chamada_assistance_subcategoria_73,Doenças sexualmente transmissíveis,Saúde Sexual e Reprodutiva
linhafala_chamada_assistance_subcategoria_74,Informação sobre contraceptivos,Saúde Sexual e Reprodutiva
linhafala_chamada_assistance_subcategoria_75,Cuidados maternos,Saúde Sexual e Reprodutiva
linhafala_chamada_assistance_subcategoria_76,Orientação sexual,Saúde Sexual e Reprodutiva
linhafala_chamada_assistance_subcategoria_77,Periodo menstrual,Saúde Sexual e Reprodutiva
linhafala_chamada_assistance_subcategoria_78,Corrimento vaginal,Saúde Sexual e Reprodutiva
linhafala_chamada_assistance_subcategoria_79,Circuncisão,Saúde Sexual e Reprodutiva
linhafala_chamada_assistance_subcategoria_80,Mutilação genital,Saúde Sexual e Reprodutiva
linhafala_chamada_assistance_subcategoria_81,Venda do livro de distribuição gratuita,Problemas relacionados com escola
linhafala_chamada_assistance_subcategoria_82,Problemas escolares com o professor,Problemas relacionados com escola
linhafala_chamada_assistance_subcategoria_83,Bullying na escola,Problemas relacionados com escola
linhafala_chamada_assistance_subcategoria_84,Lanche escolar,Problemas relacionados com escola
linhafala_chamada_assistance_subcategoria_85,Falta de material escolar,Problemas relacionados com escola
linhafala_chamada_assistance_subcategoria_86,Dificuldades de assimilar a matéria,Problemas relacionados com escola
linhafala_chamada_assistance_subcategoria_87,Falta de uniforme escolar,Problemas relacionados com escola
linhafala_chamada_assistance_subcategoria_88,Falta de dinheiro de propinas,Problemas relacionados com escola
linhafala_chamada_assistance_subcategoria_89,Falta de vaga na escola,Problemas relacionados com escola
linhafala_chamada_assistance_subcategoria_90,Abandono escolar,Problemas relacionados com escola
linhafala_chamada_assistance_subcategoria_91,Criança que não estuda,Problemas relacionados com escola
linhafala_chamada_assistance_subcategoria_92,Práticas culturais nocivas(ritos de iniciação),Problemas relacionados com escola
linhafala_chamada_assistance_subcategoria_93,Informação sobre a vacina de Poliomielite,Campanhas de Saúde
linhafala_chamada_assistance_subcategoria_94,Tamanho de Uniforme,SRQ
linhafala_chamada_assistance_subcategoria_95,Uniforme insuficiente,SRQ
linhafala_chamada_assistance_subcategoria_96,Desvio de Uniforme,SRQ
linhafala_chamada_assistance_subcategoria_97,Corrupção para acesso ao Uniforme,SRQ
linhafala_chamada_assistance_subcategoria_98,Outras Informações sobre Uniforme,SRQ
linhafala_chamada_assistance_subcategoria_99,Corrupção para acesso a bicicleta,SRQ
linhafala_chamada_assistance_subcategoria_100,Uniforme com defeito de fabrico,SRQ
linhafala_chamada_assistance_subcategoria_101,Bicicleta com defeitos do fabrico,SRQ
linhafala_chamada_assistance_subcategoria_102,Bicicletas insuficientes,SRQ
linhafala_chamada_assistance_subcategoria_103,Mau uso de Bicicleta,SRQ
linhafala_chamada_assistance_subcategoria_104,Outras informações sobre a bicicleta,SRQ
linhafala_chamada_assistance_subcategoria_105,Insuficiência do Kit de higiene menstrual,SRQ
linhafala_chamada_assistance_subcategoria_106,Corrupção para ter acesso ao Kit de higiene menstrual,SRQ
linhafala_chamada_assistance_subcategoria_107,Outras informações sobre o Kit de Higiene menstrual,SRQ
linhafala_chamada_assistance_subcategoria_108,Kit de higiene menstrual com defeito do fabrico,SRQ
linhafala_chamada_assistance_subcategoria_109,Informação sobre o emprega,SRQ
linhafala_chamada_assistance_subcategoria_110,Reclamação sobre subsédio,SRQ
